,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,1,0,0,0
2020-01-23,0,0,1,0,0,0
2020-01-24,0,0,1,0,0,0
2020-01-25,0,0,1,0,0,0
2020-01-26,0,0,1,0,0,0
2020-01-27,0,0,1,0,0,0
2020-01-28,0,0,1,0,0,0
2020-01-29,0,0,1,0,0,0
2020-01-30,0,0,1,0,0,0
2020-01-31,0,0,1,0,0,0
2020-02-01,0,0,1,0,0,0
2020-02-02,0,0,1,0,0,0
2020-02-03,0,0,1,0,0,0
2020-02-04,0,0,1,0,0,0
2020-02-05,0,0,1,0,0,0
2020-02-06,0,0,1,0,0,0
2020-02-07,0,0,1,0,0,0
2020-02-08,0,0,1,0,0,0
2020-02-09,0,0,1,0,0,0
2020-02-10,0,0,1,0,0,0
2020-02-11,0,0,1,0,0,0
2020-02-12,0,0,1,0,0,0
2020-02-13,0,0,1,0,0,0
2020-02-14,0,0,1,0,0,0
2020-02-15,0,0,1,0,0,0
2020-02-16,0,0,1,0,0,0
2020-02-17,0,0,1,0,0,0
2020-02-18,0,0,1,0,0,0
2020-02-19,0,0,1,0,0,0
2020-02-20,0,0,1,0,0,0
2020-02-21,0,0,1,0,0,0
2020-02-22,0,0,1,0,0,0
2020-02-23,0,0,1,0,0,0
2020-02-24,0,0,1,0,0,0
2020-02-25,0,0,1,0,0,0
2020-02-26,0,0,1,0,0,0
2020-02-27,0,0,1,0,0,0
2020-02-28,0,0,1,0,0,0
2020-02-29,0.8571428571428571,6,7,0.14285714285714285,1,1
2020-03-01,1.4285714285714286,4,11,0.14285714285714285,0,1
2020-03-02,2.4285714285714284,7,18,0.8571428571428571,5,6
2020-03-03,3.7142857142857144,9,27,1,1,7
2020-03-04,5.428571428571429,12,39,1.4285714285714286,3,10
2020-03-05,9.857142857142858,31,70,1.5714285714285714,1,11
2020-03-06,11,8,78,1.8571428571428572,2,13
2020-03-07,13.571428571428571,24,102,2.142857142857143,3,16
2020-03-08,15.857142857142858,20,122,2.4285714285714284,2,18
2020-03-09,14.857142857142858,0,122,1.8571428571428572,1,19
2020-03-10,20,45,167,2.2857142857142856,4,23
2020-03-11,34.714285714285715,115,282,2,1,24
2020-03-12,53.142857142857146,160,442,2.857142857142857,7,31
2020-03-13,70,126,568,3.4285714285714284,6,37
2020-03-14,77.14285714285714,74,642,3.2857142857142856,2,39
2020-03-15,68.71428571428571,-39,603,3.142857142857143,1,40
2020-03-16,93.85714285714286,176,779,4.142857142857143,8,48
2020-03-17,112.57142857142857,176,955,4.571428571428571,7,55
2020-03-18,105.71428571428571,67,1022,6.142857142857143,12,67
2020-03-19,133.14285714285714,352,1374,6,6,73
2020-03-20,136.57142857142858,150,1524,6.571428571428571,10,83
2020-03-21,164.42857142857142,269,1793,7.857142857142857,11,94
2020-03-22,199.14285714285714,204,1997,8.142857142857142,3,97
2020-03-23,206,224,2221,8.714285714285714,12,109
2020-03-24,196.14285714285714,107,2328,8.714285714285714,7,116
2020-03-25,224.14285714285714,263,2591,9.428571428571429,17,133
2020-03-26,261.85714285714283,616,3207,11,17,150
2020-03-27,279,270,3477,10.571428571428571,7,157
2020-03-28,319.57142857142856,553,4030,13.428571428571429,31,188
