,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,1,1,0,0,0
2020-01-27,0,0,1,0,0,0
2020-01-28,0,0,1,0,0,0
2020-01-29,0.14285714285714285,0,1,0,0,0
2020-01-30,0.14285714285714285,0,1,0,0,0
2020-01-31,0.14285714285714285,0,1,0,0,0
2020-02-01,0.14285714285714285,0,1,0,0,0
2020-02-02,0,0,1,0,0,0
2020-02-03,0,0,1,0,0,0
2020-02-04,0,0,1,0,0,0
2020-02-05,0,0,1,0,0,0
2020-02-06,0,0,1,0,0,0
2020-02-07,0,0,1,0,0,0
2020-02-08,0,0,1,0,0,0
2020-02-09,0,0,1,0,0,0
2020-02-10,0,0,1,0,0,0
2020-02-11,0,0,1,0,0,0
2020-02-12,0,0,1,0,0,0
2020-02-13,0,0,1,0,0,0
2020-02-14,0,0,1,0,0,0
2020-02-15,0,0,1,0,0,0
2020-02-16,0,0,1,0,0,0
2020-02-17,0,0,1,0,0,0
2020-02-18,0,0,1,0,0,0
2020-02-19,0,0,1,0,0,0
2020-02-20,0,0,1,0,0,0
2020-02-21,0,0,1,0,0,0
2020-02-22,0,0,1,0,0,0
2020-02-23,0,0,1,0,0,0
2020-02-24,0,0,1,0,0,0
2020-02-25,0,0,1,0,0,0
2020-02-26,0,0,1,0,0,0
2020-02-27,0,0,1,0,0,0
2020-02-28,0,0,1,0,0,0
2020-02-29,0,0,1,0,0,0
2020-03-01,0,0,1,0,0,0
2020-03-02,0,0,1,0,0,0
2020-03-03,0,0,1,0,0,0
2020-03-04,0,0,1,0,0,0
2020-03-05,0,0,1,0,0,0
2020-03-06,0.14285714285714285,1,2,0,0,0
2020-03-07,0.42857142857142855,2,4,0,0,0
2020-03-08,0.42857142857142855,0,4,0,0,0
2020-03-09,0.42857142857142855,0,4,0,0,0
2020-03-10,0.7142857142857143,2,6,0,0,0
2020-03-11,1.1428571428571428,3,9,0,0,0
2020-03-12,1.1428571428571428,0,9,0,0,0
2020-03-13,1,0,9,0,0,0
2020-03-14,1.1428571428571428,3,12,0,0,0
2020-03-15,1.1428571428571428,0,12,0,0,0
2020-03-16,2,6,18,0,0,0
2020-03-17,2,2,20,0,0,0
2020-03-18,2.5714285714285716,7,27,0,0,0
2020-03-19,5.142857142857143,18,45,0,0,0
2020-03-20,8.428571428571429,23,68,0,0,0
2020-03-21,13.142857142857142,36,104,0.14285714285714285,1,1
2020-03-22,20,48,152,0.2857142857142857,1,2
2020-03-23,31,83,235,0.2857142857142857,0,2
2020-03-24,43.714285714285715,91,326,0.7142857142857143,3,5
2020-03-25,53.42857142857143,75,401,0.8571428571428571,1,6
2020-03-26,66.14285714285714,107,508,1.1428571428571428,2,8
2020-03-27,85.28571428571429,157,665,1.8571428571428572,5,13
2020-03-28,95.57142857142857,108,773,2,2,15
2020-03-29,109.57142857142857,146,919,2.142857142857143,2,17
2020-03-30,131.71428571428572,238,1157,2.5714285714285716,3,20
2020-03-31,137.57142857142858,132,1289,2.857142857142857,5,25
2020-04-01,144.57142857142858,124,1413,3.7142857142857144,7,32
2020-04-02,155.42857142857142,183,1596,3.857142857142857,3,35
2020-04-03,157.71428571428572,173,1769,4.428571428571429,9,44
2020-04-04,178,250,2019,5.285714285714286,8,52
2020-04-05,192.85714285714286,250,2269,6.714285714285714,12,64
2020-04-06,186.14285714285714,191,2460,6.428571428571429,1,65
2020-04-07,183.71428571428572,115,2575,6.857142857142857,8,73
2020-04-08,187.57142857142858,151,2726,8.142857142857142,16,89
2020-04-09,203.14285714285714,292,3018,9,9,98
2020-04-10,191.85714285714286,94,3112,8.857142857142858,8,106
2020-04-11,196.28571428571428,281,3393,9.285714285714286,11,117
2020-04-12,181.85714285714286,149,3542,8.714285714285714,8,125
2020-04-13,177.85714285714286,163,3705,9.571428571428571,7,132
2020-04-14,176.28571428571428,104,3809,10,11,143
2020-04-15,176.85714285714286,155,3964,9.428571428571429,12,155
2020-04-16,174.14285714285714,273,4237,9.428571428571429,9,164
2020-04-17,199.85714285714286,274,4511,11,19,183
2020-04-18,190.14285714285714,213,4724,9,-3,180
2020-04-19,198.71428571428572,209,4933,8.428571428571429,4,184
2020-04-20,194.71428571428572,135,5068,8.428571428571429,7,191
2020-04-21,206.71428571428572,188,5256,9.285714285714286,17,208
2020-04-22,215.57142857142858,217,5473,10.857142857142858,23,231
2020-04-23,219.28571428571428,299,5772,12.142857142857142,18,249
2020-04-24,219.14285714285714,273,6045,11.857142857142858,17,266
2020-04-25,223.14285714285714,241,6286,13.285714285714286,7,273
2020-04-26,228.71428571428572,248,6534,13,2,275
2020-04-27,236.71428571428572,191,6725,12,0,275
2020-04-28,242.71428571428572,230,6955,9.571428571428571,0,275
2020-04-29,248,254,7209,11,33,308
2020-04-30,269,446,7655,10.142857142857142,12,320
2020-05-01,274.85714285714283,314,7969,9.142857142857142,10,330
2020-05-02,296.85714285714283,395,8364,8.142857142857142,0,330
2020-05-03,300.85714285714283,276,8640,12.428571428571429,32,362
2020-05-04,314.14285714285717,284,8924,12.428571428571429,0,362
2020-05-05,335.7142857142857,381,9305,17.142857142857142,33,395
2020-05-06,356.85714285714283,402,9707,16.857142857142858,31,426
2020-05-07,327.14285714285717,238,9945,18.571428571428573,24,450
2020-05-08,365.2857142857143,581,10526,26.714285714285715,67,517
2020-05-09,370.85714285714283,434,10960,28.857142857142858,15,532
2020-05-10,354.14285714285717,159,11119,24.857142857142858,4,536
2020-05-11,351.2857142857143,264,11383,25.714285714285715,6,542
2020-05-12,347.2857142857143,353,11736,23.857142857142858,20,562
2020-05-13,358.42857142857144,480,12216,24.142857142857142,33,595
2020-05-14,389.85714285714283,458,12674,24.857142857142858,29,624
2020-05-15,377.57142857142856,495,13169,19.142857142857142,27,651
2020-05-16,386.57142857142856,497,13666,21,28,679
2020-05-17,403.7142857142857,279,13945,20.571428571428573,1,680
2020-05-18,403.57142857142856,263,14208,20.714285714285715,7,687
2020-05-19,405.7142857142857,368,14576,20.428571428571427,18,705
2020-05-20,384.2857142857143,330,14906,21.714285714285715,42,747
2020-05-21,382,442,15348,20,17,764
2020-05-22,350.7142857142857,276,15624,17.714285714285715,11,775
2020-05-23,341,429,16053,17.428571428571427,26,801
2020-05-24,347.42857142857144,324,16377,17.285714285714285,0,801
2020-05-25,338.14285714285717,198,16575,17.142857142857142,6,807
2020-05-26,326.85714285714283,289,16864,15,3,810
2020-05-27,344.57142857142856,454,17318,12.428571428571429,24,834
2020-05-28,361.2857142857143,559,17877,13.714285714285714,26,860
2020-05-29,406.85714285714283,595,18472,15.857142857142858,26,886
2020-05-30,457.85714285714283,786,19258,14.714285714285714,18,904
2020-05-31,508.42857142857144,678,19936,15.142857142857142,3,907
2020-06-01,507.7142857142857,193,20129,15.857142857142858,11,918
2020-06-02,628.5714285714286,1135,21264,19,25,943
2020-06-03,719.7142857142857,1092,22356,21.285714285714285,40,983
2020-06-04,715.5714285714286,530,22886,19.857142857142858,16,999
2020-06-05,852.4285714285714,1553,24439,18.428571428571427,16,1015
2020-06-06,884.7142857142857,1012,25451,19.857142857142858,28,1043
2020-06-07,1007.5714285714286,1538,26989,20.571428571428573,8,1051
2020-06-08,1078.4285714285713,689,27678,19.285714285714285,2,1053
2020-06-09,1004.5714285714286,618,28296,19,23,1076
2020-06-10,1070.857142857143,1556,29852,16.857142857142858,25,1101
2020-06-11,1197.2857142857142,1415,31267,19.428571428571427,34,1135
2020-06-12,1228.5714285714287,1772,33039,20.142857142857142,21,1156
2020-06-13,1315.5714285714287,1621,34660,20.857142857142858,33,1189
2020-06-14,1245.2857142857142,1046,35706,20,2,1191
2020-06-15,1309.4285714285713,1138,36844,21.428571428571427,12,1203
2020-06-16,1555.5714285714287,2341,39185,21.714285714285715,25,1228
2020-06-17,1583.5714285714287,1752,40937,21.142857142857142,21,1249
2020-06-18,1739.7142857142858,2508,43445,21.142857142857142,34,1283
2020-06-19,1981.5714285714287,3465,46910,23.571428571428573,38,1321
2020-06-20,2209.5714285714284,3217,50127,22.428571428571427,25,1346
2020-06-21,2412.1428571428573,2464,52591,22.571428571428573,3,1349
2020-06-22,2536.4285714285716,2008,54599,21.142857142857142,2,1351
2020-06-23,2741.8571428571427,3779,58378,24,45,1396
2020-06-24,2750.4285714285716,1812,60190,31.142857142857142,71,1467
2020-06-25,2833.714285714286,3091,63281,30.285714285714285,28,1495
2020-06-26,2821.285714285714,3378,66659,30.714285714285715,41,1536
2020-06-27,2856.714285714286,3465,70124,33.42857142857143,44,1580
2020-06-28,3047,3796,73920,35,14,1594
2020-06-29,2849.4285714285716,625,74545,35.285714285714285,4,1598
2020-06-30,2978.5714285714284,4683,79228,35.57142857142857,47,1645
2020-07-01,3416.4285714285716,4877,84105,36.857142857142854,80,1725
2020-07-02,3452,3340,87445,38.42857142857143,39,1764
2020-07-03,3601.8571428571427,4427,91872,37.42857142857143,34,1798
2020-07-04,3491.8571428571427,2695,94567,33.857142857142854,19,1817
2020-07-05,3454.714285714286,3536,98103,33,8,1825
2020-07-06,3844.285714285714,3352,101455,33,4,1829
2020-07-07,3695.1428571428573,3639,105094,40.285714285714285,98,1927
2020-07-08,3501.285714285714,3520,108614,34,36,1963
2020-07-09,3603.714285714286,4057,112671,39.142857142857146,75,2038
2020-07-10,3574.285714285714,4221,116892,40.57142857142857,44,2082
2020-07-11,3623.285714285714,3038,119930,47.714285714285715,69,2151
2020-07-12,3480.5714285714284,2537,122467,58.857142857142854,86,2237
2020-07-13,3195.5714285714284,1357,123824,59.57142857142857,9,2246
2020-07-14,3286.1428571428573,4273,128097,58.57142857142857,91,2337
2020-07-15,3248.5714285714284,3257,131354,67.28571428571429,97,2434
2020-07-16,3134.5714285714284,3259,134613,64.85714285714286,58,2492
2020-07-17,3090.1428571428573,3910,138523,71.57142857142857,91,2583
2020-07-18,3047.8571428571427,2742,141265,82.71428571428571,147,2730
2020-07-19,3022.4285714285716,2359,143624,74.85714285714286,31,2761
2020-07-20,3051.285714285714,1559,145183,76.85714285714286,23,2784
2020-07-21,2940.8571428571427,3500,148683,83,134,2918
2020-07-22,2750.714285714286,1926,150609,77.14285714285714,56,2974
2020-07-23,2618.714285714286,2335,152944,81.57142857142857,89,3063
2020-07-24,2539.714285714286,3357,156301,80,80,3143
2020-07-25,2682.285714285714,3740,160041,79.42857142857143,143,3286
2020-07-26,2627.1428571428573,1973,162014,77.71428571428571,19,3305
2020-07-27,2663.4285714285716,1813,163827,74.28571428571429,-1,3304
2020-07-28,2464.4285714285716,2107,165934,70,104,3408
2020-07-29,2523.4285714285716,2339,168273,68.57142857142857,46,3454
2020-07-30,2550.5714285714284,2525,170798,80.42857142857143,172,3626
2020-07-31,2529.8571428571427,3212,174010,78.71428571428571,68,3694
2020-08-01,2423,2992,177002,65.85714285714286,53,3747
2020-08-02,2350.4285714285716,1465,178467,65.71428571428571,18,3765
2020-08-03,2238.5714285714284,1030,179497,67.85714285714286,14,3779
2020-08-04,2081.5714285714284,1008,180505,62.42857142857143,66,3845
2020-08-05,1990,1698,182203,68.28571428571429,87,3932
2020-08-06,1836.857142857143,1453,183656,53.714285714285715,70,4002
2020-08-07,1577.5714285714287,1397,185053,55.285714285714285,79,4081
2020-08-08,1300.7142857142858,1054,186107,55.714285714285715,56,4137
2020-08-09,1208,816,186923,55,13,4150
2020-08-10,1146.5714285714287,600,187523,53.57142857142857,4,4154
